global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global
7Learnings,Aifora,Aimondo,Alpha Repricer,Aura,AvaiBook,BEONPRICE,BEONx,BQool,Beyond,BlackCurve,Boardfy,Clear Demand,Climber Hotel,Cloud Store,Competera,Competitoor,DATA SEEKERS,DPGO,Darwin Pricing,Data Bunker,Dealavo,DemandTec,Dynamic Pricing,EReprice,EVA Pricing,Eva Commerce,FLYR,GK AIR,GoalProfit,Greendeck,GrowByData,Hypersonix,ITELLIGENT,Imprice,Intelligence Node,LIXAM,Mercio,Minderest,Multiply,MyForecast,Netrivals,NextOrbit,Omnia,Optimus Price,PGP,PREXUS,PROS data science,Paarly,Pace Revenue,Panther Pricing,Patagona,Premoneo,Price Hive,Price Trakker,Price2Spy,PriceGain,PriceKit,PriceLab,PriceSearch,PriceShape,PriceTweakers,Pricechecker,Priceff,Pricefx,Priceloop,Pricemonitor,Pricemoov,Priceva,Pricing HUB,Pricing Intelligence,Pricing Lifecycle,Prisync,Q-PERIOR,Quibble,Quicklizard,RateGain,Remi AI,RepricerExpress,Resteam,Revenue AI,Revionics,RoomPriceGenie,SKYSHEEP,SYMSON,Sardio,Seller Dynamics,Seller Republic,Seller Snap,SellerActive,SellerMobile,Sellermania,Skuuudle,Smartpricing,Sniffie,Sparkbox,Sposea,Steinbeis,Stratinis,StreetPricer,Syncron,Vendrive,Verteego,Vistaar,Wheelhouse,WisePrice,XPLN,Yieldigo,Zilliant,brainbi,buynomics,dunnhumby,idealista,itim,netRetail,pVelocity,priceflo,xSellco
0,0,25,0,91,49,0,86,54,69,0,0,63,0,87,39,0,36,19,9,35,0,13,20,0,0,0,45,53,0,0,0,27,83,0,0,0,24,0,86,0,8,0,100,46,100,0,0,16,13,37,30,23,79,0,35,0,0,20,0,0,0,0,0,48,0,38,0,0,65,34,16,53,32,40,59,51,0,0,0,33,0,0,0,31,27,0,48,0,0,28,0,0,0,19,0,0,100,0,0,66,0,43,69,95,0,31,0,18,0,0,78,93,27,36,22,0,0
0,0,14,0,86,48,0,65,40,67,0,0,54,0,85,0,32,25,0,9,0,25,14,21,0,9,30,49,52,92,0,0,19,25,0,0,0,42,27,77,58,6,0,96,37,95,0,0,0,33,0,31,0,76,89,11,0,0,0,0,0,69,0,0,0,0,49,0,35,38,21,14,38,0,32,0,52,40,0,29,38,0,0,74,28,51,0,55,19,0,0,32,39,0,23,0,100,79,0,42,49,0,0,62,79,0,0,0,16,0,0,78,92,24,0,0,0,60
0,0,24,0,82,48,0,30,23,66,0,0,59,0,91,0,48,91,30,8,14,100,13,23,64,9,54,48,57,0,26,0,20,0,0,55,0,18,29,81,0,7,55,89,59,96,0,22,0,15,0,26,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,62,45,23,21,0,35,47,63,20,0,17,38,0,0,27,0,0,0,62,35,0,76,0,0,45,39,0,0,86,33,0,53,0,19,48,94,7,0,0,30,0,0,70,90,24,0,0,59,43
0,0,27,0,82,39,68,54,42,64,0,0,60,0,92,0,0,0,0,0,56,0,0,17,0,12,0,43,53,0,0,0,44,59,0,36,0,22,46,74,0,5,0,94,52,91,32,0,74,26,0,31,0,75,21,0,19,26,72,0,49,0,8,0,49,0,0,0,0,72,34,43,52,23,36,95,91,41,31,18,28,0,0,41,0,0,37,39,64,42,0,0,73,0,5,21,0,63,0,42,73,0,0,56,85,0,0,0,0,0,0,51,89,27,52,0,0,57
0,0,0,53,78,80,0,12,19,68,18,0,36,0,87,0,0,20,22,0,19,0,0,21,0,0,0,49,61,0,35,0,48,0,0,17,24,26,20,68,0,12,0,95,25,95,0,28,0,76,76,32,0,88,0,17,0,0,0,0,0,0,15,0,36,0,0,0,65,74,38,0,27,25,29,40,75,21,0,20,26,0,0,0,40,29,42,36,29,0,94,0,0,47,40,0,0,69,0,0,58,0,0,59,89,0,0,0,45,31,0,57,90,24,100,0,0,80
0,0,14,0,81,38,21,43,16,66,0,0,35,0,85,0,0,55,8,25,31,56,0,18,0,6,0,55,32,0,0,0,46,100,0,52,0,100,27,62,0,8,27,95,28,93,0,0,0,0,0,35,74,71,0,8,0,0,0,0,100,0,0,0,0,0,0,13,74,44,63,0,0,0,23,0,70,0,0,0,10,0,32,0,68,16,0,32,93,50,0,0,0,0,45,33,0,74,0,90,53,0,55,56,80,0,0,17,32,44,41,56,93,23,0,0,0,60
0,52,100,0,82,72,37,73,50,65,7,0,40,0,90,0,0,31,0,14,16,0,0,16,0,28,0,54,65,100,23,0,29,0,0,100,0,30,0,66,71,7,0,100,36,98,57,23,0,42,73,9,43,58,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,44,47,0,60,42,27,43,53,29,49,0,20,100,0,0,46,62,0,0,0,57,35,40,0,0,41,25,0,61,0,0,58,0,0,87,96,10,0,8,48,0,0,47,92,24,0,0,0,39
0,0,28,0,82,81,0,0,19,72,0,0,55,0,94,0,0,100,13,18,13,0,0,13,0,7,0,55,56,0,35,0,27,0,47,56,0,21,0,65,0,0,0,94,34,97,32,14,63,30,0,39,0,86,28,18,0,0,26,0,0,0,0,0,0,0,0,24,0,41,17,55,0,0,23,0,51,48,0,0,40,0,0,100,27,20,37,33,0,0,0,0,0,52,37,0,0,46,0,0,59,0,21,65,100,0,0,0,53,0,0,72,89,24,0,0,0,92
0,84,0,0,82,8,0,64,42,68,0,0,41,0,89,0,0,83,0,0,0,0,16,24,31,0,82,58,94,0,0,26,0,43,0,17,0,31,32,61,50,10,58,93,31,94,0,0,0,24,0,34,0,76,29,0,0,0,0,0,0,0,0,0,57,22,0,100,0,77,39,19,57,47,29,52,37,0,0,0,33,40,0,0,0,46,53,30,0,28,0,44,45,0,9,0,0,99,0,0,44,0,0,51,87,0,0,0,61,0,0,70,92,22,32,0,0,0
0,34,0,0,79,74,0,39,42,69,0,0,49,0,80,0,0,0,0,0,0,30,0,16,0,0,0,56,92,0,36,48,0,57,0,36,0,28,17,64,34,13,0,92,31,95,59,14,0,0,0,50,0,69,0,0,13,16,32,0,0,100,0,17,84,0,0,0,51,55,19,0,32,0,32,0,57,28,0,0,34,0,34,0,0,0,0,30,81,0,0,57,0,100,53,0,0,64,0,0,82,0,0,63,88,0,0,18,0,0,0,80,87,20,87,53,0,0
0,0,24,0,83,79,0,100,34,74,10,0,20,0,86,0,0,20,0,21,0,0,0,18,0,9,0,76,63,0,0,28,0,0,0,53,37,49,21,59,0,8,0,91,23,86,0,16,70,17,0,29,0,58,0,0,22,0,0,10,69,0,0,0,0,0,0,0,0,56,24,0,0,27,30,0,46,20,0,46,25,33,0,0,49,30,0,30,56,30,0,0,0,0,22,55,0,77,0,0,66,0,23,71,95,17,0,0,41,0,0,78,92,18,0,0,53,0
0,91,41,0,95,100,0,32,25,69,0,0,20,0,85,0,0,29,0,0,0,0,0,12,0,0,0,62,85,0,0,0,0,0,0,44,0,28,21,57,0,0,0,90,27,89,33,11,0,0,0,24,60,46,0,0,27,39,0,0,0,0,0,0,81,0,0,0,0,54,59,0,29,0,31,0,66,31,0,48,31,28,0,0,0,58,0,64,23,0,0,51,0,59,30,32,0,59,0,0,40,0,0,60,97,0,0,0,34,0,17,86,91,19,0,0,0,0
0,0,16,0,98,71,0,53,21,70,0,42,40,0,92,0,0,38,11,0,0,30,0,28,0,0,0,46,100,0,0,0,39,49,0,0,0,13,22,60,0,12,0,94,31,87,95,0,0,0,0,36,0,82,0,0,0,0,0,0,0,0,0,0,45,0,0,27,90,79,44,20,0,0,29,0,53,30,0,54,33,0,77,0,0,19,0,52,38,44,0,49,0,0,43,52,0,66,0,0,100,0,0,79,98,0,0,0,0,0,30,40,91,24,0,0,0,0
100,40,24,0,87,73,0,66,28,71,0,76,38,0,89,30,0,0,24,0,20,0,24,24,0,0,43,43,91,49,0,0,0,0,64,38,0,17,29,60,48,8,79,89,16,91,0,0,0,35,0,27,0,100,0,0,0,0,17,0,0,0,0,0,78,0,0,33,0,81,21,30,0,0,34,46,62,0,0,0,37,0,0,50,0,54,64,77,24,0,0,86,0,92,46,26,0,79,0,0,68,0,0,53,96,0,0,0,0,45,0,100,91,20,0,0,0,41
23,0,0,100,93,51,0,50,23,73,0,75,36,0,89,0,0,21,0,18,20,0,0,21,78,0,32,46,65,0,0,0,46,51,0,0,0,25,55,60,0,5,0,87,16,92,0,20,0,42,0,40,0,72,34,7,16,0,17,0,98,0,0,23,0,0,0,12,80,43,77,28,0,54,37,0,90,0,50,20,31,0,100,0,0,31,0,0,59,0,0,34,46,0,39,30,0,55,0,0,68,0,37,65,94,0,13,0,49,0,0,71,95,18,34,0,0,0
0,0,16,0,89,69,0,50,43,73,0,0,37,0,90,0,40,20,16,25,19,0,0,15,0,13,56,42,60,30,0,0,22,38,0,0,0,26,0,63,39,0,0,94,33,88,59,0,0,76,0,33,0,88,0,17,0,56,63,0,0,0,0,0,65,0,60,20,0,59,48,38,54,0,29,0,56,0,0,0,34,0,0,0,0,35,0,100,0,0,0,0,0,0,41,52,0,60,0,0,74,0,0,67,91,0,67,13,0,96,0,54,93,18,0,0,49,59
0,47,0,0,87,55,0,52,39,80,0,0,31,23,95,29,0,38,13,0,20,0,13,14,0,0,100,40,51,0,28,0,0,0,0,0,0,21,100,66,0,0,0,92,25,83,75,19,0,0,0,31,0,97,0,0,0,0,100,47,0,0,6,42,42,0,0,13,0,52,27,28,0,30,27,0,62,45,0,18,36,14,29,62,40,0,0,46,41,0,0,0,0,0,34,22,58,46,0,100,56,0,0,70,90,0,0,0,0,0,22,67,92,20,73,0,0,0
0,0,0,0,85,39,0,61,46,71,13,0,29,0,91,0,0,0,0,0,0,0,0,17,48,0,0,45,64,0,0,0,34,85,38,38,33,48,0,79,32,0,0,90,25,89,0,0,19,29,0,28,0,89,0,11,0,18,0,0,0,0,0,0,59,36,0,29,0,56,34,28,0,0,31,0,60,39,0,28,35,48,0,0,0,33,0,43,97,0,0,42,0,0,38,34,40,54,0,55,34,0,0,57,88,0,0,0,26,0,0,69,96,23,95,0,0,100
0,0,26,40,87,37,21,33,0,72,0,62,23,17,91,26,0,0,10,9,0,37,0,15,0,0,0,43,58,0,0,0,0,27,0,54,0,14,0,75,36,0,74,93,49,92,0,0,0,0,0,29,0,61,0,0,0,20,0,0,0,0,6,0,32,0,0,0,0,47,23,0,0,0,33,0,48,0,52,0,17,19,0,0,0,36,0,73,57,100,0,0,34,34,31,31,0,35,53,0,57,0,0,43,88,0,0,0,54,35,0,55,98,27,0,0,0,0
0,0,32,0,85,49,0,23,46,100,0,0,61,33,92,0,0,0,0,24,0,0,26,17,0,0,0,38,53,0,0,0,0,23,0,0,0,21,0,82,59,8,0,91,28,88,0,0,40,0,0,34,0,89,0,0,0,0,21,0,0,39,0,0,21,0,0,49,0,45,23,25,0,33,43,0,74,28,0,0,32,0,29,0,90,13,0,0,42,0,0,0,0,0,28,22,0,60,0,0,49,0,0,74,81,0,0,0,57,0,0,45,96,30,0,49,61,0
0,0,14,0,83,64,43,26,38,74,0,0,53,0,80,100,0,50,9,0,0,0,0,18,0,7,58,35,64,29,0,100,42,0,0,64,0,30,0,97,0,0,0,91,20,94,0,0,0,0,39,42,0,77,0,0,0,0,0,0,69,0,0,0,100,0,93,0,0,46,83,54,0,0,45,41,50,21,0,27,41,0,0,0,31,46,54,62,100,0,0,32,74,46,32,100,0,75,100,64,62,0,0,60,77,0,0,8,35,0,16,68,100,24,0,33,0,83
0,0,75,0,84,38,0,0,39,78,0,0,55,0,93,46,0,64,0,0,23,0,0,17,0,0,24,39,78,0,27,0,36,51,0,23,0,21,0,100,34,5,36,92,38,91,0,26,28,16,0,26,0,71,0,10,0,0,0,0,0,0,9,0,0,0,0,0,40,43,34,23,0,0,32,49,83,0,0,46,26,0,38,0,66,38,0,63,33,0,0,0,0,99,38,0,49,55,0,0,66,0,0,73,81,0,0,0,77,0,0,57,100,28,29,0,0,0
23,0,34,0,82,82,0,46,0,67,0,28,100,0,85,0,0,0,0,16,11,0,20,17,0,11,0,37,61,0,0,0,0,40,0,68,0,16,0,91,0,0,0,91,44,89,0,0,23,55,0,38,100,69,0,0,0,0,22,0,0,0,5,0,29,0,100,16,0,91,0,0,0,0,26,0,61,28,48,0,57,16,31,0,100,44,79,0,0,22,0,29,0,70,16,25,0,66,0,0,52,0,29,56,82,0,0,0,35,0,18,58,94,27,0,29,0,59
0,0,0,0,83,30,0,60,13,61,8,0,39,41,87,51,0,61,0,0,12,43,0,16,0,11,0,40,55,0,41,0,0,56,0,48,52,30,21,93,0,0,0,93,37,77,0,0,0,34,0,46,0,54,21,8,0,0,0,0,67,0,0,0,0,0,0,0,0,43,61,18,51,24,34,0,70,0,0,0,50,0,0,0,0,30,0,0,36,0,0,52,35,0,19,50,22,68,0,47,77,0,0,65,94,0,0,0,41,0,0,56,89,21,0,0,43,0
0,0,0,0,81,46,0,23,27,66,0,0,55,100,89,0,0,67,19,0,0,0,14,27,0,0,30,31,74,0,0,0,22,37,0,20,0,13,0,98,51,0,0,99,29,93,43,24,62,0,64,38,0,57,0,0,0,35,51,0,66,0,6,0,0,0,0,29,72,71,40,16,59,0,28,39,36,0,0,0,41,0,23,37,0,57,0,46,74,41,26,0,60,0,27,0,0,64,0,0,52,0,0,98,74,0,17,21,54,0,22,58,91,27,58,40,0,0
0,0,36,0,83,42,83,89,28,63,0,34,67,0,93,28,0,42,0,0,0,0,0,21,0,25,51,29,63,59,0,0,0,0,0,39,0,26,0,89,69,6,0,89,30,93,0,19,39,100,0,42,0,29,0,8,17,13,0,0,0,49,0,0,39,0,0,0,0,49,32,0,51,86,33,43,50,100,32,24,50,17,0,0,64,0,44,34,48,0,0,0,0,48,30,0,0,93,0,0,63,0,0,50,75,0,0,0,54,0,0,58,90,24,34,44,0,0
23,0,20,0,84,56,0,39,43,62,0,0,35,0,84,0,100,63,0,0,26,29,21,23,66,0,47,28,44,0,0,0,26,42,41,71,100,8,0,84,0,0,29,90,22,82,0,0,72,0,0,36,0,54,31,15,0,0,0,0,0,0,6,0,0,0,0,0,0,70,39,25,28,28,28,49,37,50,0,21,38,0,0,0,0,69,27,23,0,67,0,0,0,0,43,0,0,73,0,0,54,0,0,57,73,0,0,19,52,0,0,48,88,22,0,0,0,0
0,0,52,0,86,37,0,0,47,66,0,0,62,14,90,0,0,71,32,0,38,0,26,20,0,0,0,32,73,0,0,0,0,29,0,19,0,27,35,82,43,6,0,90,27,86,23,0,0,0,0,51,0,63,37,0,0,13,24,0,65,0,0,0,0,42,0,0,57,56,54,37,0,31,38,46,49,35,0,0,39,0,0,0,0,54,0,0,0,47,0,38,0,0,30,0,0,42,0,0,80,0,0,64,88,0,13,0,58,0,0,53,86,25,0,0,0,0
25,0,53,0,82,44,0,50,18,66,0,0,63,20,80,0,0,57,16,11,84,0,0,26,0,7,0,52,74,30,0,0,18,0,0,41,0,18,0,83,73,0,0,93,26,87,0,0,0,0,80,34,25,55,0,23,0,0,54,0,64,0,12,100,85,55,0,0,0,48,58,28,0,0,53,0,64,45,0,0,45,0,65,0,0,47,0,0,51,0,0,0,71,89,32,0,0,49,0,0,56,0,0,42,75,0,0,0,0,0,0,53,86,22,0,0,0,0
0,41,30,0,89,65,54,64,43,71,0,35,41,42,93,52,0,54,0,0,18,0,0,100,0,6,49,25,58,0,53,0,46,63,0,59,27,55,44,85,0,6,0,95,41,88,0,0,0,56,38,68,0,65,84,0,0,0,21,0,0,44,29,0,0,0,0,33,0,60,53,30,0,0,100,0,49,0,0,36,39,15,48,42,0,40,100,62,21,0,0,89,0,50,26,49,0,62,0,56,64,0,0,80,75,0,24,0,59,0,16,44,84,22,0,0,0,0
0,0,0,0,87,43,0,40,0,82,12,0,33,36,100,51,55,60,0,17,0,49,0,31,0,0,25,25,71,0,41,0,26,36,100,19,33,13,0,73,30,17,55,92,14,75,39,0,0,0,0,60,0,65,0,7,0,0,18,0,97,49,7,17,0,30,0,15,0,49,33,0,22,0,76,49,60,30,0,0,43,0,0,0,31,61,0,0,0,22,0,0,0,0,52,0,24,70,90,0,69,30,100,56,88,21,12,19,38,0,13,78,76,29,0,0,0,80
16,0,26,0,85,45,23,45,20,76,0,27,79,30,90,0,0,52,0,12,10,0,0,22,0,0,0,19,70,30,78,0,0,0,41,0,0,24,0,77,52,0,0,91,18,83,35,0,28,76,0,63,0,55,26,0,0,0,0,0,0,0,9,0,0,0,0,0,57,31,50,49,0,0,66,0,70,22,0,19,40,0,0,0,57,0,0,41,0,36,100,0,0,0,32,29,0,66,0,0,59,71,0,43,73,0,33,0,100,0,13,52,74,41,0,0,0,46
0,0,22,0,83,43,0,54,22,73,0,43,57,33,90,33,0,0,11,8,19,0,0,20,0,6,0,20,53,0,0,0,20,27,0,23,0,22,0,73,0,0,0,88,41,86,40,0,0,0,40,30,0,58,22,0,35,0,0,11,68,0,0,0,49,0,0,14,77,67,55,0,100,0,85,0,74,27,0,29,59,0,39,0,49,83,46,64,21,0,50,0,65,49,37,0,0,74,47,0,53,0,0,46,77,0,16,0,0,0,0,53,71,48,0,34,0,0
0,0,0,0,91,80,0,49,22,75,0,0,75,0,96,32,0,64,0,0,0,0,0,25,0,9,0,18,41,43,0,0,43,23,0,70,35,27,0,75,57,0,0,92,39,84,0,0,100,80,0,49,43,63,0,10,0,0,0,0,0,0,13,17,36,41,0,0,0,52,27,30,21,0,65,0,42,65,0,28,55,0,0,0,0,34,0,0,0,0,0,100,0,0,34,30,30,66,0,0,45,0,0,55,81,0,0,0,29,45,43,60,74,43,0,0,0,57
0,0,0,0,96,33,100,58,19,76,0,0,23,0,100,46,0,19,11,0,18,35,0,14,0,0,0,17,44,0,0,0,0,64,0,30,23,21,0,60,87,7,0,93,36,73,0,0,25,0,64,36,0,40,0,0,0,0,0,0,0,55,25,0,28,0,0,0,0,60,29,0,42,0,59,36,46,47,0,0,45,14,0,0,73,81,0,0,0,0,0,31,0,0,31,0,45,59,0,62,35,0,0,73,69,0,0,0,74,0,15,88,69,20,0,0,0,64
18,0,0,0,100,43,0,49,0,69,0,47,46,0,96,0,0,20,18,0,11,0,0,10,100,0,0,26,61,0,0,0,0,0,0,0,0,12,0,47,0,0,0,96,35,67,0,0,0,0,0,59,0,59,100,16,0,0,0,0,0,0,0,0,0,0,75,20,0,18,44,26,54,100,60,0,52,0,75,81,54,42,0,28,0,93,81,27,0,0,0,0,0,0,39,0,0,33,32,0,56,46,40,65,75,0,22,0,22,0,32,33,85,18,0,35,78,0
15,0,0,0,91,26,44,61,33,75,0,0,15,28,91,0,0,31,0,0,24,41,25,18,61,11,0,37,63,0,0,0,45,37,0,21,44,14,0,63,40,18,0,97,23,93,0,0,0,0,0,37,0,51,0,0,0,31,0,0,0,0,0,0,0,0,62,0,0,45,61,0,0,27,52,37,54,27,63,30,50,0,0,0,0,100,0,0,57,0,0,0,0,63,52,21,0,47,0,0,42,0,31,68,74,0,0,0,24,0,0,62,89,44,0,50,0,0
0,0,0,0,93,26,0,39,24,77,9,0,48,0,83,27,0,20,8,19,63,0,39,19,0,0,0,29,61,0,0,0,38,0,46,26,32,19,0,78,39,0,0,95,35,82,100,17,0,28,0,30,0,80,0,20,0,13,0,0,74,0,0,0,30,100,0,30,94,50,22,55,52,0,41,46,93,50,26,58,60,0,25,0,0,74,0,68,48,25,0,47,0,0,47,32,0,76,0,0,72,0,0,62,78,0,0,0,30,0,30,45,96,100,0,25,78,41
19,0,0,0,88,47,0,73,45,66,0,0,87,26,90,0,0,47,13,0,39,48,0,18,45,9,0,28,79,28,0,0,0,78,0,39,30,20,20,79,0,0,0,92,53,81,0,27,19,0,79,30,0,71,0,0,11,0,28,0,87,0,0,0,0,0,0,0,0,62,42,32,0,28,71,0,100,67,31,100,82,19,0,38,76,59,0,83,0,0,0,0,0,0,43,58,0,79,0,0,55,0,29,74,86,0,0,0,54,0,0,90,98,64,0,23,0,49
0,36,0,55,88,74,24,79,78,63,30,0,53,28,92,0,0,37,0,0,30,0,16,21,0,0,0,25,79,0,27,0,69,31,83,0,0,29,36,84,57,5,0,93,31,84,0,20,0,43,0,40,39,76,0,0,0,0,0,0,0,0,0,20,75,0,0,0,100,74,51,100,41,0,67,0,64,48,0,0,59,0,0,0,82,59,0,47,66,0,0,0,0,0,59,0,0,74,0,0,70,0,0,57,76,10,0,0,48,0,0,42,95,39,0,0,0,0
0,0,0,75,94,48,0,35,38,77,0,0,53,39,94,0,0,66,9,0,30,0,0,20,0,0,42,100,58,0,0,43,25,0,0,36,0,0,22,93,0,0,0,93,34,82,0,0,0,56,0,55,67,76,0,0,17,0,0,0,74,0,0,0,57,0,0,22,0,45,22,19,32,0,71,0,59,0,47,21,83,31,0,0,0,61,0,37,32,0,0,57,100,86,40,0,0,77,0,0,47,0,0,62,88,36,0,0,23,0,100,61,97,28,40,0,0,0
0,72,0,0,96,45,0,52,33,70,13,100,58,0,84,0,0,73,0,0,11,62,0,28,0,0,0,16,54,68,69,27,44,0,0,0,0,21,0,85,32,0,100,91,16,85,0,0,21,0,0,57,0,63,0,10,0,0,0,0,0,48,0,0,0,0,0,0,0,69,100,0,34,0,75,0,58,0,0,0,100,0,32,0,25,13,0,47,28,0,0,0,47,0,58,34,31,93,0,40,37,0,0,58,77,0,18,0,0,0,0,40,97,20,0,0,0,0
0,0,20,76,91,56,0,24,50,66,0,0,75,0,88,61,59,36,0,0,0,0,0,22,0,0,0,10,73,0,0,0,44,37,0,65,26,31,20,80,51,0,0,98,20,85,30,0,0,16,81,15,0,68,30,26,0,0,24,11,57,0,0,0,60,0,0,0,0,80,42,33,33,0,80,89,71,37,0,0,91,0,0,0,32,36,0,82,52,41,0,44,37,38,45,61,0,84,0,0,61,0,0,100,83,0,0,0,27,0,15,76,94,26,0,0,0,0
0,91,0,38,93,63,0,46,41,74,0,95,59,0,93,0,0,0,0,0,10,0,0,20,0,0,29,10,53,0,0,0,0,44,0,63,28,24,0,79,72,8,0,93,13,83,56,0,0,41,56,48,0,62,0,14,0,0,52,0,0,0,0,0,67,35,36,18,0,72,54,15,49,0,45,49,58,96,0,0,71,0,0,0,0,47,0,82,33,54,0,30,0,40,65,0,0,64,0,0,70,0,24,74,90,0,12,0,22,0,22,44,98,26,0,22,0,0
52,100,0,0,88,89,0,77,41,70,0,45,70,13,81,0,51,21,7,0,16,29,13,25,0,0,0,8,48,36,58,0,0,44,0,0,0,18,0,81,41,0,0,92,26,80,22,0,0,0,0,37,0,68,60,0,0,0,50,12,0,0,0,21,33,29,0,34,0,71,35,35,75,0,46,0,36,60,0,17,68,14,82,0,34,0,0,26,42,36,0,0,42,35,46,0,0,86,0,0,55,100,0,69,79,7,28,0,0,0,33,37,92,27,0,0,0,53
36,0,0,0,86,68,0,43,32,65,0,0,59,0,85,78,53,42,0,0,27,37,0,20,0,0,58,8,54,0,100,0,42,43,0,47,0,18,0,78,0,10,0,95,37,82,32,11,0,58,0,35,0,48,0,8,0,0,0,0,47,35,7,0,28,0,0,0,0,62,40,0,38,0,32,55,54,43,0,0,65,0,0,0,39,17,0,0,28,0,0,28,81,53,52,44,85,86,0,68,82,0,44,39,81,0,14,0,31,0,13,56,91,29,0,0,100,36
0,0,0,0,84,72,0,32,48,66,0,0,77,0,84,0,0,22,8,0,0,0,12,23,0,14,0,8,74,0,0,0,31,44,59,34,20,21,0,74,62,0,0,91,30,84,0,0,0,37,0,41,0,74,0,15,0,20,0,22,0,0,0,0,33,0,63,18,0,63,0,63,0,0,38,31,47,18,0,39,79,0,0,0,48,16,0,72,24,0,0,0,0,77,44,0,0,68,0,0,69,39,0,93,86,0,0,0,43,34,19,49,98,24,0,0,0,39
0,0,0,56,91,95,0,45,26,65,11,27,53,44,86,0,44,58,19,0,0,0,26,23,0,0,0,7,64,0,0,0,100,30,0,0,0,0,0,72,100,0,0,94,38,90,0,56,0,47,0,31,0,66,91,0,0,19,21,0,0,0,0,70,25,0,0,0,0,72,80,33,0,0,39,46,44,27,0,0,72,0,0,0,33,0,28,0,0,0,0,0,0,0,67,0,70,68,0,0,78,0,0,43,84,0,0,0,30,0,0,64,92,27,0,58,0,0
0,57,0,0,85,74,0,72,100,66,0,0,67,0,86,26,0,39,9,0,0,0,0,25,0,0,47,7,81,83,34,0,24,39,36,27,52,19,0,74,35,0,0,95,24,85,0,0,0,58,100,41,0,52,49,10,0,0,0,13,64,34,0,0,57,38,0,0,0,59,74,30,23,46,32,100,39,0,0,30,86,26,0,0,0,17,0,38,45,0,0,54,0,41,48,36,0,69,0,61,52,0,0,67,78,0,15,0,23,43,21,64,89,26,68,0,0,0
0,0,21,0,82,79,36,60,71,63,0,37,55,0,79,0,0,65,0,0,36,25,26,18,0,6,0,6,78,0,0,0,0,43,0,0,20,14,0,68,69,0,0,94,41,80,0,10,0,48,52,19,0,45,47,0,0,0,0,0,0,0,0,0,40,68,0,0,0,55,45,26,63,0,61,0,39,21,0,0,86,0,0,0,33,0,0,31,33,0,0,0,0,67,50,22,0,47,0,0,43,34,0,66,88,0,0,0,41,100,0,44,82,21,0,0,0,42
0,0,0,0,81,75,0,41,42,62,0,0,77,19,88,0,0,81,16,0,14,0,0,23,0,17,0,7,64,0,0,88,0,29,41,0,0,16,32,62,27,0,0,93,33,83,0,0,38,0,0,40,0,77,0,11,0,22,38,0,0,0,6,0,0,0,0,12,0,69,41,35,0,0,55,38,26,0,100,0,100,0,0,0,0,37,0,0,65,0,0,57,81,79,55,0,0,42,0,0,69,0,0,63,80,0,0,0,31,0,0,65,93,28,0,100,0,0
0,0,0,0,86,0,0,0,0,71,100,0,43,0,76,0,0,0,100,100,100,0,100,26,0,100,0,9,96,0,0,0,0,0,0,0,0,0,0,62,0,100,0,89,100,63,0,100,0,0,0,100,0,0,0,100,100,100,0,100,0,0,100,0,0,0,0,0,0,100,0,0,0,0,53,0,82,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,43,84,100,100,100,0,0,0,0,86,32,0,0,0,0
